id,clase,orden,familia,nombre_cientifico,nombre_comun,origen,conservacion
67,Magnoliopsida,Caryophyllales,Cactaceae,Austrocactus spiniflorus,Cacto spinifloro,Nativa,En Peligro (EN)
68,Magnoliopsida,Laurales,Lauraceae,Beilschmiedia berteroana,belloto del sur,Nativa,En Peligro (EN)
72,Liliopsida,Liliales,Alstroemeriaceae,Bomarea dulcis,—,Nativa,En Peligro (EN)
82,Magnoliopsida,Caryophyllales,Cactaceae,Copiapoa taltalensis,Quisco del desierto,Nativa,En Peligro (EN)
89,Magnoliopsida,Caryophyllales,Cactaceae,Eulychnia iquiquensis,Copao de Iquique,Nativa,En Peligro (EN)
95,Magnoliopsida,Caryophyllales,Cactaceae,Maihueniopsis grandiflora,Cactus,Nativa,En Peligro (EN)
401,Magnoliopsida,Caryophyllales,Cactaceae,Copiapoa grandiflora,—,Nativa,En Peligro (EN)
445,Magnoliopsida,Caryophyllales,Cactaceae,Eulychnia breviflora,Copao,Nativa,—
514,Magnoliopsida,Caryophyllales,Cactaceae,Neoporteria curvispina var grandiflora,,Nativa,En Peligro (EN)
522,Magnoliopsida,Caryophyllales,Cactaceae,Pyrrhocactus heinrichianus,—,Nativa,Casi amenazada (NT)
571,Liliopsida,Liliales,Amaryllidaceae,Placea ornata,—,Nativa,Vulnerable (VU)
579,Magnoliopsida,Fabales,Fabaceae,Prosopis alpataco,Alpataco,Nativa,Vulnerable (VU)
582,Magnoliopsida,Fabales,Fabaceae,Prosopis flexuosa,Tamarugo enano,Nativa,Vulnerable (VU)
598,Magnoliopsida,Lamiales,Lamiaceae,Salvia tubiflora,Salvia roja,Nativa,Vulnerable (VU)
599,Magnoliopsida,Lamiales,Lamiaceae,Clinopodium multiflorum,Menta de árbol,Nativa,Casi amenazada (NT)
1068,Magnoliopsida,Caryophyllales,Chenopodiaceae,Suaeda multiflora,—,Nativa,Vulnerable (VU)
1121,Magnoliopsida,Caryophyllales,Caryophyllaceae,Arenaria grandiflora,Clavel de montaña,Exótica,—
1175,Magnoliopsida,Caryophyllales,Caryophyllaceae,Spergularia confertiflora,—,Nativa,Vulnerable (VU)
1178,Liliopsida,Asparagales,Alliaceae,Tristagma subbiflorum,—,Nativa,En peligro crítico (CR)
1182,Magnoliopsida,Urticales,Urticaceae,Urtica glomeruliflora,—,Nativa,En peligro crítico (CR)
1245,Magnoliopsida,Dipsacales,Caprifoliaceae,Abelia triflora,—,Exótica,—
1305,Magnoliopsida,Solanales,Solanaceae,Brunfelsia pauciflora,—,Exótica,—
1308,Magnoliopsida,Solanales,Solanaceae,Brunfelsia uniflora,Diamelo azul,Exótica,—
1506,Magnoliopsida,Campanulales,Campanulaceae,Campanula lactiflora,Campanula,Exótica,—
1525,Magnoliopsida,Scrophulariales,Bignoniaceae,Campsis grandiflora,—,Exótica,—
1618,Magnoliopsida,Caryophyllales,Caryophyllaceae,Cerastium arvense,Cuernecita,Exótica,—
1837,Liliopsida,Cyperales,Poaceae,Agrostis vinealis,Brown bent grass,Exótica,—
1920,Magnoliopsida,Mirtales,Onagraceae,Oenothera glazioviana,—,Exótica,—
1924,Magnoliopsida,Solanales,Solanaceae,Petunia parviflora,—,Exótica,—
1930,Magnoliopsida,Caryophyllales,Amaranthaceae,Pyrolirion tubiflorum,—,Exótica,—
1972,Liliopsida,Asparagales,Iridaceae,Crocosmia x crocosmiiflora,—,Exótica,—
2087,Magnoliopsida,Papaverales,Papaveraceae,Fumaria parviflora,Hierba de la culebra,Exótica,—
2091,Magnoliopsida,Asterales,Asteraceae,Galinsoga parviflora,"Pacoyuyo, pacoyuyuo fino-cimarrón, paico-jullo",Exótica,—
2137,Magnoliopsida,Fabales,Fabaceae,Melilotus indicus,Meliloto de color amarillo,Exótica,—
2139,Liliopsida,Cyperales,Poaceae,Melinis minutiflora,—,Exótica,—
